No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,23127608,Tran Xuan,Quang,Female,17/05/2002,431684330
2,23127609,Nguyen Thi,Lan,Female,12/9/2001,431684331
3,23127610,Le Van,Minh,Male,5/3/2000,431684332
4,23127611,Pham Thi,Huong,Female,22/11/2003,431684333
5,23127612,Tran Duc,Hai,Male,18/07/1999,431684334
6,23127613,Nguyen Thanh,Nhan,Male,9/12/2002,431684335
7,23127614,Hoang Thi,Mai,Female,30/04/2001,431684336
8,23127615,Vu Ngoc,Linh,Female,14/08/2000,431684337
9,23127616,Dang Van,Khanh,Male,27/06/2002,431684338
10,23127617,Phan Thi,Thuy,Female,3/11/1998,431684339
11,23127618,Trinh Minh,Duc,Male,11/5/2003,431684340
12,23127619,Nguyen Thi,Hoa,Female,19/02/2001,431684341
13,23127620,Le Thanh,Tam,Male,8/10/1999,431684342
14,23127621,Vu Thi,Ngan,Female,25/12/2002,431684343
15,23127622,Doan Van,Quoc,Male,16/04/2000,431684344
16,23127623,Pham Thi,Thao,Female,2/9/2001,431684345
17,23127624,Tran Minh,Anh,Male,23/07/2003,431684346
18,23127625,Nguyen Thi,Nga,Female,15/11/1998,431684347
19,23127626,Le Van,Cuong,Male,28/06/2002,431684348
20,23127627,Hoang Thi,Huyen,Female,4/2/2001,431684349
