No,Student Id,First name,Last name,Gender,Day of birth,Social ID,Other mark,Midterm mark,Final mark,Total mark
1,23126001,Nguyen Van,Van Quoc Duy,Male,26/08/2005,123456789,9,8,7,8
2,23126002,Tran Thi,Huong Giang,Female,15/04/2004,987654321,8,7,9,8
3,23126003,Le Van,Minh Duc,Male,03/11/2006,456789123,7,6,8,7
4,23126004,Pham Thi,Thu Ha,Female,20/09/2005,654321789,8,8,7,8
5,23126005,Nguyen Van,Anh Tuan,Male,10/12/2004,321789456,9,9,8,9
6,23126006,Tran Thi,Hoa Lan,Female,05/06/2003,789456123,7,8,6,7
7,23126007,Le Van,Quang Huy,Male,17/02/2004,456123789,8,7,8,7
8,23126008,Pham Van,Quynh Nga,Female,25/07/2006,987321654,9,9,9,9
9,23126009,Nguyen Thi,Trang Anh,Female,12/01/2005,321987654,7,8,7,7
10,23126010,Tran Van,Thanh Nam,Male,30/03/2004,654789123,8,8,9,8
11,23126011,Le Thi,Kim Ngan,Female,22/11/2003,456321987,9,7,8,8
12,23126012,Pham Van,Anh Khoa,Male,14/06/2006,789654321,7,9,7,8
13,23126013,Nguyen Thi,Huong Ly,Female,19/04/2005,321456987,8,8,9,8
14,23126014,Tran Van,Quoc Bao,Male,27/08/2004,654987321,9,9,8,9
15,23126015,Le Thi,Thu Ha,Female,05/12/2003,456789321,7,7,8,7
16,23126016,Pham Van,Anh Tuan,Male,10/09/2006,789123456,8,7,9,8
17,23126017,Nguyen Van,Trung Hieu,Male,25/02/2005,321654789,9,8,7,8
18,23126018,Tran Thi,Thu Huong,Female,08/07/2004,654321987,7,8,6,7
19,23126019,Le Van,Quoc Huy,Male,01/11/2003,456987321,8,7,8,7
20,23126020,Pham Thi,My Linh,Female,14/05/2006,789321654,9,9,9,9
