No,Student Id,First name,Last name,Gender,Day of birth,Social ID,Other mark,Midterm mark,Final mark,Total mark
1,20126001,Nguyen Van,Van Quoc Duy ,Male,26/08/2005,123456789,9,8,7,8
2,20126002,Tran Thi,B,Female,2/2/2001,223456789,8,7,9,8
3,20126003,Le Van,C,Male,3/3/2002,323456789,7,9,8,8
4,20126004,Pham Thi,D,Female,4/4/2003,423456789,9,9,9,9
5,20126005,Hoang Van,E,Male,5/5/2004,523456789,8,8,8,8
6,20126006,Vu Thi,F,Female,6/6/2005,623456789,7,7,7,7
7,20126007,Vo Van,G,Male,7/7/2006,723456789,9,8,7,8
8,20126008,Do Thi,H,Female,8/8/2007,823456789,8,7,9,8
9,20126009,Dao Van,I,Male,9/9/2008,923456789,7,9,8,8
10,20126010,Dang Thi,J,Female,9/10/2008,103456789,9,9,9,9
11,20126011,Nguyen Van,K,Male,9/11/2008,113456789,8,8,8,8
12,20126012,Tran Thi,L,Female,9/12/2008,123456780,7,7,7,7
13,20126013,Le Van,M,Male,13/01/2000,133456789,9,8,7,8
14,20126014,Pham Thi,N,Female,14/02/2001,143456789,8,7,9,8
15,20126015,Hoang Van,O,Male,15/03/2002,153456789,7,9,8,8
16,20126016,Vu Thi,P,Female,16/04/2003,163456789,9,9,9,9
17,20126017,Vo Van,Q,Male,17/05/2004,173456789,8,8,8,8
18,20126018,Do Thi,R,Female,18/06/2005,183456789,7,7,7,7
19,20126019,Dao Van,S,Male,19/07/2006,193456789,9,8,7,8
20,20126020,Dang Thi,T,Female,20/08/2007,203456789,8,7,9,8
21,20126021,Nguyen Van,U,Male,21/09/2008,213456789,7,9,8,8
22,20126022,Tran Thi,V,Female,22/10/2009,223456789,9,9,9,9
23,20126023,Le Van,W,Male,23/11/2010,233456789,8,8,8,8
24,20126024,Pham Thi,X,Female,24/12/2011,243456789,7,7,7,7
25,20126025,Hoang Van,Y,Male,25/01/2000,253456789,9,8,7,8
26,20126026,Vu Thi,Z,Female,26/02/2001,263456789,8,7,9,8
27,20126027,Vo Van,AA,Male,27/03/2002,273456789,7,9,8,8
28,20126028,Do Thi,BB,Female,28/04/2003,283456789,9,9,9,9
29,20126029,Dao Van,CC,Male,29/05/2004,293456789,8,8,8,8
30,20126030,Dang Thi,DD,Female,30/06/2005,303456789,7,7,7,7
31,20126031,Nguyen Van,EE,Male,31/07/2006,313456789,9,8,7,8
32,20126032,Tran Thi,FF,Female,1/8/2007,323456789,8,7,9,8
33,20126033,Le Van,GG,Male,2/9/2008,333456789,7,9,8,8
34,20126034,Pham Thi,HH,Female,3/10/2009,343456789,9,9,9,9
35,20126035,Hoang Van,II,Male,4/11/2010,353456789,8,8,8,8
36,20126036,Vu Thi,JJ,Female,5/12/2011,363456789,7,7,7,7
37,20126037,Vo Van,KK,Male,6/1/2000,373456789,9,8,7,8
38,20126038,Do Thi,LL,Female,7/2/2001,383456789,8,7,9,8
39,20126039,Dao Van,MM,Male,8/3/2002,393456789,7,9,8,8
40,20126040,Dang Thi,NN,Female,9/4/2003,403456789,9,9,9,9
41,20126041,Nguyen Van,OO,Male,10/5/2004,413456789,8,8,8,8
42,20126042,Tran Thi,PP,Female,11/6/2005,423456789,7,7,7,7
43,20126043,Le Van,QQ,Male,12/7/2006,433456789,9,8,7,8
44,20126044,Pham Thi,RR,Female,13/08/2007,443456789,8,7,9,8
45,20126045,Hoang Van,SS,Male,14/09/2008,453456789,7,9,8,8
46,20126046,Vu Thi,TT,Female,15/10/2009,463456789,9,9,9,9
47,20126047,Vo Van,UU,Male,16/11/2010,473456789,8,8,8,8
48,20126048,Do Thi,VV,Female,17/12/2011,483456789,7,7,7,7
49,20126049,Dao Van,WW,Male,18/01/2000,493456789,9,8,7,8
50,20126050,Dang Thi,XX,Female,19/02/2001,503456789,8,7,9,8
