No,Student Id,First name,Last name,Gender,Day of birth,Social ID,Other mark,Midterm mark,Final mark,Total mark
1,23126041,Nguyen Van,Anh Tien,Male,22/09/2004,123456789,8,9,7,8
2,23126042,Tran Thi,Thi Mai,Female,10/5/2006,987654321,7,8,9,8
3,23126043,Le Van,Thanh Son,Male,28/03/2005,456789123,9,7,8,7
4,23126044,Pham Thi,My Linh,Female,15/11/2004,654321789,8,9,8,9
5,23126045,Nguyen Van,Minh Hoang,Male,2/7/2003,321789456,7,8,7,7
6,23126046,Tran Thi,Thu Hien,Female,19/04/2006,789456123,9,8,9,8
7,23126047,Le Van,Quang Vinh,Male,7/12/2005,456123789,8,7,8,7
8,23126048,Pham Van,Anh Tuan,Male,25/08/2004,987321654,7,9,7,8
9,23126049,Nguyen Thi,Huong Lan,Female,13/06/2003,321987654,9,7,8,8
10,23126050,Tran Van,Quoc Huy,Male,30/01/2006,654789123,8,8,9,8
11,23126051,Le Thi,Thu Ha,Female,18/10/2004,456321987,7,9,7,8
12,23126052,Pham Van,Minh Tri,Male,5/4/2003,789654321,9,8,9,8
13,23126053,Nguyen Thi,Huong Giang,Female,23/02/2005,321456987,8,7,8,7
14,23126054,Tran Van,Thanh Nam,Male,10/9/2006,654987321,7,8,6,7
15,23126055,Le Van,Quang Hieu,Male,27/07/2004,456789321,8,7,9,8
16,23126056,Pham Thi,Thu Hang,Female,14/05/2003,789123456,9,8,7,8
17,23126057,Nguyen Van,Anh Duc,Male,1/3/2006,321654789,7,9,8,7
18,23126058,Tran Van,Hoang Son,Male,20/11/2005,654321987,8,7,9,8
19,23126059,Le Thi,My Linh,Female,8/8/2004,456987321,9,9,8,9
20,23126060,Pham Van,Quoc Anh,Male,25/06/2003,789321654,7,8,7,7
