No,Password,Last name,First name,Class,Gender,Date of Birth,Academic year,Staff
1,102,LastName0,FirstName0,Class0,Male,7/12/1986,3,FALSE
2,345,LastName1,FirstName1,Class1,Female,2/20/1999,2,TRUE
3,567,LastName2,FirstName2,Class2,Male,10/5/1984,5,FALSE
4,12,LastName3,FirstName3,Class3,Female,9/21/1987,4,TRUE
5,123,LastName4,FirstName4,Class4,Male,11/15/2001,6,FALSE
6,456,LastName5,FirstName5,Class5,Female,3/28/1995,3,FALSE
7,678,LastName6,FirstName6,Class6,Male,4/17/1989,2,TRUE
8,234,LastName7,FirstName7,Class7,Female,8/30/2002,1,FALSE
9,456,LastName8,FirstName8,Class8,Male,5/19/1993,4,TRUE
10,678,LastName9,FirstName9,Class9,Female,12/2/1988,5,FALSE
11,345,LastName10,FirstName10,Class10,Male,1/7/2004,6,TRUE
12,567,LastName11,FirstName11,Class11,Female,6/23/1981,3,FALSE
13,789,LastName12,FirstName12,Class12,Male,7/3/1996,2,TRUE
14,456,LastName13,FirstName13,Class13,Female,4/14/1985,4,FALSE
15,678,LastName14,FirstName14,Class14,Male,10/18/2000,5,TRUE
16,890,LastName15,FirstName15,Class15,Female,9/25/1982,1,FALSE
17,567,LastName16,FirstName16,Class16,Male,12/9/1997,6,TRUE
18,789,LastName17,FirstName17,Class17,Female,8/11/1983,3,FALSE
19,901,LastName18,FirstName18,Class18,Male,5/26/1984,2,TRUE
20,678,LastName19,FirstName19,Class19,Female,2/8/1990,4,FALSE
21,234,LastName20,FirstName20,Class20,Male,3/31/2003,5,TRUE
22,456,LastName21,FirstName21,Class21,Female,6/13/1986,1,FALSE
23,678,LastName22,FirstName22,Class22,Male,7/22/1991,6,TRUE
24,890,LastName23,FirstName23,Class23,Female,11/5/1998,3,FALSE
25,567,LastName24,FirstName24,Class24,Male,9/17/1987,2,TRUE
26,789,LastName25,FirstName25,Class25,Female,8/4/2002,4,FALSE
27,901,LastName26,FirstName26,Class26,Male,4/1/1980,5,TRUE
28,234,LastName27,FirstName27,Class27,Female,5/23/1995,1,FALSE
29,456,LastName28,FirstName28,Class28,Male,12/8/1989,6,TRUE
30,678,LastName29,FirstName29,Class29,Female,10/11/1992,3,FALSE
31,890,LastName30,FirstName30,Class30,Male,7/14/2004,2,TRUE
32,123,LastName31,FirstName31,Class31,Female,1/29/1981,4,FALSE
33,345,LastName32,FirstName32,Class32,Male,3/12/1994,5,TRUE
34,567,LastName33,FirstName33,Class33,Female,6/25/1999,1,FALSE
35,789,LastName34,FirstName34,Class34,Male,7/2/1983,6,TRUE
36,901,LastName35,FirstName35,Class35,Female,9/15/1996,3,FALSE
37,234,LastName36,FirstName36,Class36,Male,8/27/2001,2,TRUE
38,456,LastName37,FirstName37,Class37,Female,5/10/1984,4,FALSE
39,678,LastName38,FirstName38,Class38,Male,12/23/1988,5,TRUE
40,890,LastName39,FirstName39,Class39,Female,2/16/1993,1,FALSE
41,12,LastName40,FirstName40,Class40,Male,4/19/2000,6,TRUE
42,234,LastName41,FirstName41,Class41,Female,11/21/1985,3,FALSE
43,456,LastName42,FirstName42,Class42,Male,10/4/1990,2,TRUE
44,678,LastName43,FirstName43,Class43,Female,9/7/1982,4,FALSE
45,890,LastName44,FirstName44,Class44,Male,7/30/1997,5,TRUE
46,123,LastName45,FirstName45,Class45,Female,8/3/1986,1,FALSE
47,345,LastName46,FirstName46,Class46,Male,3/16/2003,6,TRUE
48,567,LastName47,FirstName47,Class47,Female,5/27/1989,3,FALSE
49,789,LastName48,FirstName48,Class48,Male,4/5/1994,2,TRUE
50,901,LastName49,FirstName49,Class49,Female,12/18/2001,4,FALSE
